"","abundance","counts","length","countsFromAbundance","counts_normalized"
"ABCD4",10.923279,2732.45405974667,2129.09293088641,"no",0.516109822189185
"ABCE1",13.118515,5935.29417301333,3850.81216944143,"no",1.12106683343778
"ABCF1",42.743723,14329.6481399467,2853.36922289151,"no",2.70660438998456
"ABCF2",39.119691,15870.51368968,3452.95044086621,"no",2.99764527393049
"ABCF2P1",0,0,1867,"no",0
"ABCF2P2",0,0,296,"no",0
"ABCF3",7.988902,2359.88018782667,2514.18738269665,"no",0.445737537574528
"ABCG1",2.768344,980.186663533333,3013.58598533997,"no",0.185139055796349
"ABCG2",6.749299,3283.4400042,4140.61862335629,"no",0.620180833669215
"ABCG4",0.930713,412.42667036,3771.60361787146,"no",0.0778997380564604
"ABCG5",0.011307,3.63999866666667,2740,"no",0.000687528142667612
"ABCG8",0,0,2665,"no",0
"ABHD1",1.212069,149.185767813333,1047.5982448194,"no",0.0281784207220798
"ABHD10",18.017772,5191.41303465333,2452.33218357963,"no",0.980561502459059
"ABHD11",9.041097,1318.22675936,1240.97707468463,"no",0.248988551500621
"ABHD12",8.113925,1882.52667365333,1974.71724424369,"no",0.355574324603905
"ABHD12B",1.551498,311.34667424,1708,"no",0.0588076041417869
"ABHD13",2.782583,1745.14664613333,5338,"no",0.329625788955966
"ABHD14A",12.834337,1541.17925488,1022.05548194659,"no",0.291100137021708
"ABHD14A-ACY1",0.942771,104.582613586667,944.165900308771,"no",0.0197537133002335
"ABHD14B",36.004966,7257.9275204,1715.71435943031,"no",1.37088770757336
"ABHD15",2.904861,1225.93350784,3592,"no",0.231556070445234
"ABHD16A",29.529347,6608.30316225333,1904.71873262216,"no",1.2481857317517
"ABHD16B",2.334467,487.12000128,1776,"no",0.0920079209927229
"ABHD17A",15.657219,4006.11761958667,2177.72882042462,"no",0.756681212969973
"ABHD17AP1",0.537667,59.0017762666667,934,"no",0.011144339700503
"ABHD17AP2",0.538243,59.00177552,933,"no",0.0111443395594715
"ABHD17AP3",0.045797,6.11790896,1137,"no",0.00115555937500664
"ABHD17AP4",0.255145,27.2493354,909,"no",0.00514689335687179
"ABHD17AP5",0.077085,8.151108,900,"no",0.00153959291118507
"ABHD17AP6",0.546981,67.0931472,1044,"no",0.0126726493892875
"ABHD17B",5.027612,1450.53330549333,2455.61739728523,"no",0.273978800744069
"ABHD17C",3.237784,900.81334272,2368,"no",0.170146909690393
"ABHD2",5.878057,5913.83789318667,8563.08854558572,"no",1.11701414068466
"ABHD3",3.339914,761.053342453333,1939.43230334673,"no",0.143748841393692
"ABHD4",9.791379,2858.29314741333,2484.60703206361,"no",0.539878488647977
"ABHD5",5.369928,1059.08001497333,1678.63042130174,"no",0.200040544602123
"ABHD6",2.798127,794.480076666667,2416.63089738243,"no",0.150062530653964
"ABHD8",4.63583,1138.35840506667,2090,"no",0.215014760058214
"ABI1",25.769114,6277.80672062667,2073.49617600357,"no",1.18576109221799
"ABI2",44.512307,22526.83466052,4307.39665553619,"no",4.25490067789248
"ABI3",0.082382,20.41332032,2109,"no",0.00385569707313683
"ABI3BP",0.074368,59.2666886,6783,"no",0.0111943767200696
"ABL1",11.475074,6433.81374704,4772.08070030747,"no",1.21522792199881
"ABL2",3.82212,5003.72053876,11142.5215087438,"no",0.9451098759857
"ABLIM1",13.956592,8671.56096341333,5288.25838155905,"no",1.63789680963378
"ABLIM2",1.12493,392.86667848,2972.45018712275,"no",0.0742052188768243
"ABLIM3",1.500518,705.866615666667,4003.83499164955,"no",0.133325093683288
